ID	date	day	month	year	station	x	y	max_depth	transect	zone	Ts	Tf	pH	Ss	Sf	NO3	NH4	SiOH4	PO4	Si.N	N.P	Chla	Phaeo_a	n_phyto_total	n_diato	n_dino	n_nano	n_nano_nonid	n_cryptophyta	n_prasinophyta	n_primnesiophyta	pourc_diatom	pourc_nano	pourc_cerataulina	pourc_chaeto	pourc_guinar	pourc_leptocyl	pourc_pseudonitz	pourc_otherdiato	pourc_cryptophy	pourc_primne	pourc_othernano	n_small_gymnod	n_large_gymnod	n_gyrod	n_otherdino	Calanoida	Cladocera	Oikopleuridae	Hydrozoa	Cyclopoida	nauplii	Cirripedia	Thecosomata	Poecilostomatoida	Bivalvia	Siphonophorae	Chaetognatha	Harpacticoida	Euphausiacea	Actinopterygii	Amphipoda	Annelida	Acartiidae	Echinodermata	zoea	Calanidae	Candaciidae	Centropagidae	Corycaeidae	Oithonidae	Euchaetidae	Oncaeidae	Temoridae	Sapphirinidae	Decapoda	egg	Bryozoa	other_Calanoida	n_total	ebv_total	n_small	n_large	ratio	ebv_small	ebv_large	ratio_ebv
1	25/10/10	25	10	2010	b1	-4.37	48.19	20	b	NA	13.9	13.9	7.99	35.1	35.1	NA	NA	NA	NA	NA	NA	0.3	0.3	600090	7320	11360	581410	NA	NA	NA	NA	1	97	0	2	30	0	1	67	9	12	79	3700	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	25/10/10	25	10	2010	b2	-4.47	48.19	20	b	NA	13.9	13.8	8	35.1	35.1	NA	NA	NA	NA	NA	NA	0.4	0.3	244650	1600	4490	238560	NA	NA	NA	NA	1	98	0	19	40	0	3	39	17	4	79	1900	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	25/10/10	25	10	2010	b3	-4.57	48.19	15	b	NA	14.1	14.1	8.03	35.3	35.3	NA	NA	NA	NA	NA	NA	0.3	0.2	239100	3110	19490	216500	NA	NA	NA	NA	1	91	0	2	2	0	0	96	26	19	55	2530	0	13820	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	25/10/10	25	10	2010	b4	-5.03	48.2	50	b	NA	13.5	13.5	8.03	35.3	35.3	NA	NA	NA	NA	NA	NA	0.4	0.1	157650	560	15600	141490	NA	NA	NA	NA	0	90	0	0	21	0	25	54	48	12	40	3170	0	11030	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	25/10/10	25	10	2010	b5	-5.1	48.2	80	b	NA	13.8	13.6	8.04	35.3	35.3	NA	NA	NA	NA	NA	NA	0.5	0.1	210140	6800	10650	192690	NA	NA	NA	NA	3	92	0	15	1	0	1	83	37	23	39	5650	0	2410	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	02/05/11	2	5	2011	b1	-4.37	48.19	20	b	H	13.8	13.7	8.11	34.4	34.4	1.94	0.25	0.89	0.11	0.458762887	17.63636364	2.8	0.9	1525147	857625	32520	635002	529470	57776	7536	35200	56.23228449	41.63546202	10.25156683	82.88820872	0.013992129	0.952047806	2.387990089	3.506194432	9.09855402	5.543289627	85.35815635	29520	440	360	2200	2981.64705882353	552.156862745098	351.372549019608	70.2745098039216	80.3137254901961	80.3137254901961	80.3137254901961	220.862745098039	80.3137254901961	10.0392156862745	0	0	50.1960784313725	0	20.078431372549	0	0	1224.78431372549	0	10.0392156862745	0	0	40.156862745098	60.2352941176471	80.3137254901961	0	0	532.078431372549	20.078431372549	130.509803921569	10.0392156862745	0	1184.62745098039	318	385.972621076604	183	135	1.35555555555556	174.759922847589	211.212698229015	0.827412008430003
7	02/05/11	2	5	2011	b2	-4.47	48.19	20	b	H	13.7	13.6	8.24	34.4	34.4	1.37	0.25	1.42	0.16	1.03649635	8.5625	3.6	0.5	941090	341840	46160	553090	440170	37680	50240	0	36.32383725	58.77121211	18.02597707	48.95857711	0	5.525977065	8.226070676	19.26339808	6.812634472	0	93.18736553	43960	240	40	1920	4376.38095238095	3535.23809523809	2267.42857142857	292.571428571429	60.9523809523809	365.714285714286	292.571428571429	402.285714285714	170.666666666667	0	48.7619047619048	0	12.1904761904762	0	36.5714285714286	0	24.3809523809524	1426.28571428571	0	12.1904761904762	97.5238095238095	0	73.1428571428571	0	60.9523809523809	0	158.47619047619	463.238095238095	12.1904761904762	109.714285714286	36.5714285714286	12.1904761904762	2316.19047619048	379	501.967794816356	250	129	1.93798449612403	245.135271117977	256.83252369838	0.954455719190221
8	02/05/11	2	5	2011	b3	-4.57	48.19	15	b	H	13.6	13.3	8.28	34.6	34.7	0.16	0.25	1.07	0.16	6.6875	1	3.1	1.3	596575	422575	29710	144290	90430	32660	0	21200	70.83350794	24.18639735	8.322782938	35.73921789	1.071999053	22.59007277	23.73306514	8.542862214	22.63497124	14.69263289	62.67239587	0	7580	7540	14590	5370.98039215686	2635.29411764706	2823.52941176471	376.470588235294	75.2941176470588	665.098039215686	288.627450980392	50.1960784313726	338.823529411765	12.5490196078431	100.392156862745	0	0	163.137254901961	163.137254901961	0	12.5490196078431	1681.56862745098	12.5490196078431	37.6470588235294	138.039215686275	0	125.490196078431	12.5490196078431	75.2941176470588	0	326.274509803922	589.803921568628	0	175.686274509804	175.686274509804	0	2836.07843137255	461	669.477404183169	293	168	1.74404761904762	218.089404157304	451.388000025865	0.483152862160285
9	02/05/11	2	5	2011	b4	-5.03	48.2	50	b	H	13.2	12.7	8.32	34.6	34.9	2.26	0.25	1.78	0.26	0.787610619	8.692307692	2.2	0.9	534810	416690	12610	105510	55260	22610	0	20100	77.91365158	19.72850171	21.70198469	25.81535434	0.602366267	11.75454175	31.32064604	8.805106914	21.42924841	19.05032698	59.5204246	0	520	10050	2040	1416.79389312977	224.732824427481	423.409669211196	91.1959287531807	58.6259541984733	214.961832061069	153.078880407125	78.1679389312977	48.8549618320611	9.77099236641221	13.027989821883	13.027989821883	3.25699745547074	6.51399491094148	6.51399491094148	6.51399491094148	0	416.895674300254	0	16.2849872773537	48.8549618320611	0	55.3689567430025	13.027989821883	58.6259541984733	3.25699745547074	35.8269720101781	221.47582697201	0	35.8269720101781	9.77099236641221	3.25699745547074	670.941475826972	469	223.246503662976	278	191	1.45549738219895	65.0881172525093	158.158386410467	0.41153756515691
10	02/05/11	2	5	2011	b5	-5.1	48.2	80	b	H	13.2	12.8	8.27	34.6	35	0.15	0.25	1.07	0.11	7.133333333	1.363636364	4.4	1.8	1732305	1349495	42300	340510	236710	60290	3140	17580	77.90169745	19.65646927	2.885523844	51.40033865	0.651354766	5.77030667	34.66852415	4.623951923	17.70579425	5.162843969	77.13136178	9400	0	20260	12640	1737.41741741742	157.597597597598	157.597597597598	146.066066066066	11.5315315315315	7.68768768768769	0	11.5315315315315	3.84384384384384	0	30.7507507507508	0	0	0	26.9069069069069	0	0	1506.78678678679	0	0	3.84384384384384	0	11.5315315315315	3.84384384384384	11.5315315315315	0	0	15.3753753753754	0	0	42.2822822822823	0	199.879879879879	456	218.653789611607	186	270	0.688888888888889	47.963622526289	170.690167085318	0.280998157921509
